dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.1842069969326716,Decicision Tree,0.0010075000000142609,0.00020250000034138793,0.12037037037037035,18.0
cancer,0.1842069969326716,Random Forrest,0.08403629999975237,0.004181000000244239,0.03703703703703709,2212.0
cancer,0.1842069969326716,SVM,0.0009901000003083027,0.00012650000007852213,0.03703703703703709,60.0
cancer,0.1842069969326716,AdaBoost,0.1414001000002827,0.011967699999331671,0.01851851851851849,1436.0
cancer,0.1842069969326716,kNN,0.00033849999999802094,0.005313399999977264,0.08333333333333337,0
cancer,0.1842069969326716,Logistic Regression,0.007641500000318047,0.00012849999984609894,0.0092592592592593,0
cancer,0.1842069969326716,Neural Network,0.13534170000002632,0.0003068999994866317,0.04629629629629628,75266.0
cancer,0.193069772888325,QDA,0.0008162999993146514,0.00019160000010742806,0.06481481481481477,1860.0
cancer,0.193069772888325,LDA,0.0011263999995207996,0.00012830000014218967,0.09259259259259256,960.0
cancer,0.193069772888325,Decicision Tree,0.0008827999999994063,0.000141299999995681,0.11111111111111116,18.0
cancer,0.193069772888325,Random Forrest,0.09315409999999247,0.005858299999999872,0.10185185185185186,1788.0
cancer,0.193069772888325,SVM,0.0012010999998892657,0.000154300000758667,0.07407407407407407,60.0
cancer,0.193069772888325,AdaBoost,0.016029100000196195,0.0019302000000607222,0.09259259259259256,153.0
cancer,0.193069772888325,kNN,0.0004163000003245543,0.005944499999714026,0.08333333333333337,0
cancer,0.193069772888325,Logistic Regression,0.008095500000308675,0.00013829999988956843,0.07407407407407407,0
cancer,0.193069772888325,Neural Network,0.12855209999997896,0.00032050000027084025,0.05555555555555558,75266.0
cancer,0.20235896477251566,QDA,0.0007793000004312489,0.00018649999947228935,0.04629629629629628,1860.0
cancer,0.20235896477251566,LDA,0.00113229999988107,0.0001280999995287857,0.05555555555555558,960.0
cancer,0.20235896477251566,Decicision Tree,0.0010693000003811903,0.00014490000012301607,0.07407407407407407,22.0
cancer,0.20235896477251566,Random Forrest,0.09733150000010937,0.004271899999366724,0.05555555555555558,1972.0
cancer,0.20235896477251566,SVM,0.0012321000003794325,0.00015160000020841835,0.02777777777777779,60.0
cancer,0.20235896477251566,AdaBoost,0.011329499999192194,0.0011112000001958222,0.08333333333333337,120.0
cancer,0.20235896477251566,kNN,0.0003536000003805384,0.005232100000284845,0.09259259259259256,0
